conversation_id,turn_index,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
700,0,700,115854,True,Tue Oct 31 22:16:56 +0000 2017,@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE,698,
700,1,698,115854,True,Tue Oct 31 22:17:40 +0000 2017,@AppleSupport  https://t.co/NV0yucs0lB,696,700
700,2,696,AppleSupport,False,Tue Oct 31 22:27:49 +0000 2017,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,697,698
700,3,697,115854,True,Tue Oct 31 22:31:23 +0000 2017,@AppleSupport The newest update. I️ made sure to download it yesterday.,699,696
700,4,699,AppleSupport,False,Tue Oct 31 22:36:27 +0000 2017,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,,697
2628,0,2628,116337,True,Tue Oct 31 22:50:00 +0000 2017,Question- @249 @115858 my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,2626,
2628,1,2626,AppleSupport,False,Tue Oct 31 22:54:53 +0000 2017,"@116337 We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",2627,2628
2628,2,2627,116337,True,Tue Oct 31 23:06:41 +0000 2017,@AppleSupport iOS 11.1 it’s been getting worse for a few months now,2629,2626
2628,3,2629,AppleSupport,False,Tue Oct 31 23:20:30 +0000 2017,@116337 Please meet with us in DM. We'd like to gather some additional details from you. https://t.co/GDrqU22YpT,,2627
2666,0,2666,116348,True,Tue Oct 31 22:44:20 +0000 2017,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,"2664,2668",
2666,1,2664,AppleSupport,False,Tue Oct 31 22:48:31 +0000 2017,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,2665,2666
2666,2,2665,116348,True,Tue Oct 31 23:06:51 +0000 2017,@AppleSupport Yes,2667,2664
2666,3,2667,AppleSupport,False,Tue Oct 31 23:10:58 +0000 2017,@116348 Thank you for reaching out. We've received your DM and will continue working with you there.,,2665
2682,0,2682,116351,True,Fri Oct 20 08:39:06 +0000 2017,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,2681,
2682,1,2681,AppleSupport,False,Fri Oct 20 14:00:13 +0000 2017,"@116351 We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",2680,2682
2682,2,2680,116351,True,Tue Oct 31 22:39:41 +0000 2017,@AppleSupport It’s sorted. Thanks. iOS update needed a change and hard reboot,2679,2681
2682,3,2679,AppleSupport,False,Tue Oct 31 22:45:26 +0000 2017,@116351 We're glad to hear that's sorted out for you. Have a great day.,,2680
3767,0,3767,116622,True,Tue Oct 31 22:59:14 +0000 2017,@AppleSupport I’m no expert in battery life  but 40% doesn’t go to 7% in 5minutes,3766,
3767,1,3766,AppleSupport,False,Tue Oct 31 23:09:27 +0000 2017,"@116622 We understand your concerns, and want to help. Which device is this happening on?",,3767
4912,0,4912,116863,True,Tue Oct 31 23:09:18 +0000 2017,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf @AppleSupport ?,"4910,4913",
4912,1,4910,AppleSupport,False,Tue Oct 31 23:16:27 +0000 2017,"@116863 We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",4911,4912
4912,2,4911,116863,True,Wed Nov 01 14:20:44 +0000 2017,@AppleSupport Running 4.0 . 4.1 showed up as an update this morning. Installing it as I type.  All was fine re: battery prior to 4.0 fingers crossed!,,4910
4912,3,4913,116863,True,Fri Nov 03 00:47:12 +0000 2017,"@AppleSupport No change since latest update, @AppleSupport :(",1990792,4912
4912,4,1990792,AppleSupport,False,Fri Nov 03 01:49:30 +0000 2017,"@116863 Are all apps up-to-date on the paired iPhone? If so, when was the last update applied to the Apple Watch? Let us know in DM. https://t.co/GDrqU22YpT",,4913
5835,0,5835,117105,True,Tue Oct 31 23:24:52 +0000 2017,You dropped an update and I️ still see boxed question marks. Fix this shit @AppleSupport @115858.,5834,
5835,1,5834,AppleSupport,False,Tue Oct 31 23:37:27 +0000 2017,@117105 We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.,,5835
5839,0,5839,117106,True,Tue Oct 31 23:32:30 +0000 2017,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,5836,
5839,1,5836,AppleSupport,False,Tue Oct 31 23:37:00 +0000 2017,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,"5837,5838",5839
5839,2,5837,117106,True,Tue Oct 31 23:38:15 +0000 2017,@AppleSupport Yes. Sorry. I️ just watched a video about 11.2 beta. 11.1 When I️ type the letter Eye I️ happens https://t.co/bUBElgADue,5840,5836
5839,3,5838,117106,True,Tue Oct 31 23:42:22 +0000 2017,@AppleSupport When eye type the letter eye a capital A with a box next to it shows up and replaces the letter eye with a question mark in a box.,,5836
5839,4,5840,AppleSupport,False,Tue Oct 31 23:48:52 +0000 2017,"@117106 Have you tried resetting the keyboard dictionary yet? If not, go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Library",5841,5837
5839,5,5841,117106,True,Mon Nov 06 02:13:07 +0000 2017,@AppleSupport Tried I️t and I️t still doesn’t work,5842,5840
5839,6,5842,AppleSupport,False,Mon Nov 06 03:51:51 +0000 2017,@117106 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,5841
8297,0,8297,117454,True,Sun Nov 05 20:19:05 +0000 2017,@AppleSupport Hello there i need help with the use of an administartors name and password on my imac,8296,
8297,1,8296,AppleSupport,False,Sun Nov 05 23:05:00 +0000 2017,@117454 Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. https://t.co/GDrqU22YpT,,8297
8561,0,8561,117504,True,Tue Oct 31 23:48:57 +0000 2017,@AppleSupport  hey what’s going on with the letter I . When i start to. Type this happens below https://t.co/jbNZfUwkzL,"8558,8565",
8561,1,8558,AppleSupport,False,Tue Oct 31 23:53:00 +0000 2017,"@117504 Let's look at this together. To begin, are you completely updated to iOS 11.1?","8559,8560",8561
8561,2,8559,117504,True,Tue Oct 31 23:53:54 +0000 2017,@AppleSupport Yes I️ just did that today.,8562,8558
8561,3,8560,117504,True,Tue Oct 31 23:59:20 +0000 2017,@AppleSupport If you look above you can see what I’m a talking about i clicked the letter I and it still does it,,8558
8561,4,8562,AppleSupport,False,Wed Nov 01 00:00:29 +0000 2017,"@117504 OK, please DM us, so we can work together on this. https://t.co/GDrqU22YpT",8563,8559
8561,5,8563,117505,True,Wed Nov 01 03:40:32 +0000 2017,@AppleSupport @117504 OH MY GOD THANK GOD I️ THOUGHT I️ WAS LOSING MY MIND,8564,8562
