conversation_id,customer_message,intent
414037,@115858 @AppleSupport your iOS 11.0.2. Update won’t allow iPhone users to login to App Store #iOS11 #ios11update #iosproblems [URL],Apps & Storage
1918492,my apple music is not working. It is asking my to subscribe even though i am already a member. And yes you have taken my £££,Apps & Storage
2774408,Hiya! My keyboard is wireless and I can't launch the recovery assistant when restarting my Mac Mini. Is there any way I can do it without pressing command+R on the loading screen?,Keyboard
1145077,.@AppleSupport 11.0.3?! Battery’s at 25% before lunch. My 5S randomly quits at any point below 35% as it is. Never getting Apple again.,Battery
506562,"My battery is at 54% noooooooooooooo , I just charged it wtf @115858 [URL]",Battery
1415605,Can y’all fix y’all keyboard problem please it’s pissing me off,Keyboard
1030449,"Dear @115858, why is my phone battery dying so damn fast ever since these last few updates?",Battery
2508165,@115858 Why does my headphone adapter break every 3 months. I’ve spent almost £40 on new ones in the year I’ve had this phone 😊,Sound & Bluetooth
2955453,can I add company name to my billing address for my personal Apple ID? Sometimes I buy software that I use at my company (self-employed). Would love to get VAT invoices for those particular orders (like recent @815844 Pro purchase). 😀,Apple ID
659464,"@115858 you suck! With the latest iOS, battery drains at least 40% faster. #apple",Battery
2129161,which iOS version will be fixing this notifications bug and 3d touch switching between apps ? [URL],Screen & Camera
2105275,losong battery at a very high rate. Lost over 15% in less than 10 mins. #smdh #fixthis #ios11sucks,Battery
162781,"Yet again, I've had to stop work because my Macbook Pro has quietly stopped charging despite being plugged in. No low power prompts or power-saving seem to kick in. Seriously @115858, we're talking about a laptop charing a battery, how can it be so aggrevating? [URL]",Battery
741643,I am not able to download any this fro app store. Why?,Apps & Storage
2031712,Bro my phone was not acting up with the letter i until today wtf @AppleSupport,Keyboard
1967773,system Apps freezing unexpectedly and Touch Screen stops working,Screen & Camera
429581,#iOS11 is draining battery. #iphone5s @115858 @AppleSupport,Battery
2281735,My background refresh is off and yet something is constantly running in the background and draining my battery. Worst update yet @115858! #iOS11probs,Battery
880064,phone keeps crashing & very poor battery life after the most recent update on iphone6......Why is this happening? #unreliable,Battery
1508739,@115858 y’all need to fix this keyboard Bc eye’m getting really annoyed. Eye can’t use the letter after h in the alphabet..fix it. please,Keyboard
2402172,HELP omg my bf restarted his phone so it would delete and restart everything cause it was acting funny and it wants us to put in his iCloud but he doesn't remember the email or password. How is this considered a reset 😡 what do we do !!!!!!!!!!!!!!!!!!!,Apple ID
1861583,@115858 what should I do now that your shitty headphones broke in my phone ? [URL],Sound & Bluetooth
408855,This update has ruined my fucking battery. @115858 do something !,Battery
773865,I thought iphone 7s were water resistant 🤔 i took it into the shower for 4 seconds and now my speakers don’t work :/ @115858 I hate y’all,Sound & Bluetooth
1743581,Anyone else find that when you type the letter “I” it autocorrects to the letter “A” with a symbol? @115858 @AppleSupport fix it,Keyboard
2005255,Is anyone else’s iPhone changing “i” to I️ ???,Keyboard
2775928,I'm very dissapointed with the help I got today to log into my Apple ID after I told the guy that the trusted number on the account is wrong and since the day I joined Apple I have only had one phone number . Its my own account and I would like it to be fixed please,Apple ID
2485807,"what's wrong with you @AppleSupport? since monday, the delivery status has been shipped, but this is only a synonym ... our system has created the shipping information, but no package exists and was sent out",Other
2013659,I️ can type the letter I in certain words but not by itself @AppleSupport get it together.,Keyboard
1146719,my phone keeps crashing .,Phone Performance
2077345,@115858 Your headphones are a piece of shit and break every 5 seconds. Thanks for nothing,Sound & Bluetooth
1014321,My iPhone doesn’t have an App Store. I don’t understand what is happening.,Apps & Storage
1356390,". @115858 online chat not working, call in and it hangs up on you. I want to fix the incorrect shipping address! You're killing me smalls.",Other
738929,I just lost all of my icloud information because my phone number was different than when I first started the account thanks @AppleSupport,Apple ID
2747340,"when i am updating large number of apps at the same time, app store shows still-loading apps under Recently Updated tab. Why?!",Apps & Storage
1558810,Why do i see the little question mark box still @115858 fix this,Keyboard
1009054,Hello @AppleSupport my podcast directory keeps crashing. Why? Worked perfectly well before #iOS11,Apps & Storage
2005614,why is my I on my keyboard not working it looks like this > I️,Keyboard
1903571,Any one else having issues with #iPhone8Plus pairing with Bluetooth? @115858 @AppleSupport,Sound & Bluetooth
1914274,"@115858 @AppleSupport,why lock my account because u want me to reset my password then not let me “it’s to weak” I don’t want a long stupid 1",Apple ID
312602,Hey @115858 this update won’t let me control Bluetooth sound in my car? Am I supposed to reach all the way to the dash?,Sound & Bluetooth
617115,@118845 I've had my beats powerbeats 3 for a year and a day before my wzrenty was up they broke help me out,Sound & Bluetooth
2179527,@115858 @AppleSupport help me fix my back camera 😭😭😭😭😭#iOSProblem [URL],Screen & Camera
50028,every time i️ type the letter “i️”in most apps it substitutes with symbols i️,Keyboard
648533,attempted to download BT sports app last night but couldn't log in using my Apple ID. Was told some one would ring me within 24 hours to sort the situation. It now says the app won't be available for 13 days???,Apple ID
1676815,Hey @AppleSupport I used to be able to use my UK card on Apple Pay with my French iCloud account. iOS 11 is not letting me do that now :(,Apple ID
1153411,"seit dem Update auf iOS11 sind alle meine Käufe nichtig. Laut App Store muss ich für jede gekaufte App, erneut bezahlen? Help",Apps & Storage
2299165,"Dears, I have an issue with my iphone everytime i unplug my airpods i have to pair them again and again it keeps asking me to pair them with my device. Could you help please? [URL]",Sound & Bluetooth
1761215,Come on Tim Cook @115858 you made the letter ‘I’ an emoji??? Tf wrong wit you.,Keyboard
587003,"Family Sharing not working. @115858 says talk to the dev. @27400 (dev) says talk to Apple. Personally, I think the App Store is Apple’s problem.",Apps & Storage
1058147,@115858 @AppleSupport please do something about your recent phone update as it’s made my phone slow & don’t tell me to buy a new one thanks,Phone Performance
2427275,@115858 will you be fixing this annoying issue with the keyboard and the letter “I”,Keyboard
2021812,Why the HELL does @115858 keep changing i to I️?????? 😡 making me real angry over here!,Keyboard
346989,Trying to create my son an Apple ID for his new iPhone and the Apple website isn’t working 😒 really apple @AppleSupport,Apple ID
2185466,why is this “A followed by a little box w a ?” Coming up on autocorrect???,Keyboard
1644540,Why is the keyboard fucked up??? @115858,Keyboard
1863074,ever since after the upgrade to iOS 11.0.3 the battery drain faster and need to charge 3 to 4 times a day. Please fix issues,Battery
