conversation_id,customer_message,context,intent,escalation_label,escalation_reason
427841,"Hi I'm using ios 11.0.2 on iPhone 6, keyboard doesn't fill screen when device rotated on landscape? Please solve this...","[Customer]: Hi I'm using ios 11.0.2 on iPhone 6, keyboard doesn't fill screen when device rotated on landscape? Please solve this...
[AppleSupport]: We're here to help. DM us with more details about what you're experiencing. [URL]",Keyboard,AUTO-HANDLE,Keyboard layout orientation issue resolvable via standard display zoom / orientation settings.
1434156,can other people see my iCloud profile pic when I send them e-mail?,"[Customer]: can other people see my iCloud profile pic when I send them e-mail?
[AppleSupport]: Thanks for reaching out. That's a great question. We'd like to look into this. DM us to get started. [URL]",Apple ID,ESCALATE,Apple ID credential and account management involves private authentication requiring human/secure handling.
2477569,"Another issue with my iOS11 iPhone…plug it in to charge overnight, wake up and it hasn’t charged. @AppleSupport","[Customer]: Another issue with my iOS11 iPhone…plug it in to charge overnight, wake up and it hasn’t charged. @AppleSupport
[AppleSupport]: We can help! Do you get any indication that it's charging when you plug your phone in, or does it not recognize the charger at all?
[Customer]: When I plug it in, it indicates it is charging, every time. It is only in the morning that I discover otherwise. 2-2",Battery,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
2749359,Hey @115858 - you know this OS update is freezing phones momentarily... we know u know,"[Customer]: Hey @115858 - you know this OS update is freezing phones momentarily... we know u know
[AppleSupport]: We appreciate you reaching out. DM us the Apple device you're experiencing this issue with, and we'll go from there. [URL]",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
110967,any chance keyboard lag on the iPhone will be fixed soon? I upgraded my 6s+ to 11.1.2 and it's still sluggish 😭,"[Customer]: any chance keyboard lag on the iPhone will be fixed soon? I upgraded my 6s+ to 11.1.2 and it's still sluggish 😭
[AppleSupport]: Could you Direct Message us so we can look into this further? We'd love to help. [URL]",Keyboard,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1759675,hey I recently disabled my Apple ID and I would like to re enable it,"[Customer]: hey I recently disabled my Apple ID and I would like to re enable it
[AppleSupport]: Have you seen the steps here? [URL]
[Customer]: Yes, I contacted Apple to disable my account and they said I would need to contact support to reactive it",Apple ID,ESCALATE,"Involves sensitive credentials, password reset, or account lockout requiring private identity verification."
1848614,I just updated iPhone 11.0 iOS it is jumpy it’s not typing any words correctly is anyone having this experience @115858 #iphone7 😡,"[Customer]: I just updated iPhone 11.0 iOS it is jumpy it’s not typing any words correctly is anyone having this experience @115858 #iphone7 😡
[AppleSupport]: We'd be happy to help with your iPhone. Could you DM us a little more detail on what you mean by jumpy exactly? [URL]",Keyboard,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2305170,.@115858 please fix this glitch I️m,"[Customer]: .@115858 please fix this glitch I️m
[AppleSupport]: iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: [URL]",Keyboard,AUTO-HANDLE,"Known iOS 11 keyboard autocorrect bug with an official, safe self-service Text Replacement workaround."
1162142,why can’t I use a vpn on safari after the most recent update? I have 2 take it off to use it????,"[Customer]: why can’t I use a vpn on safari after the most recent update? I have 2 take it off to use it????
[AppleSupport]: We'd like to help! Send us a DM with the country that you are located in to continue. [URL]",Apps & Storage,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2306245,"my iphone 8 keeps freezing on the home screen thinking im pressing the message icon, every time i have to reset it Any ideas? [URL]","[Customer]: my iphone 8 keeps freezing on the home screen thinking im pressing the message icon, every time i have to reset it Any ideas? [URL]
[AppleSupport]: Thanks for reaching out. Does this happen only when on calls? Which iOS version are you currently running? Send us those answers via DM. [URL]",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
